experiment,domain,vector_method,pair_label,condition,gate_pass_rate,cosine_deletion_rate,mean_b_anchor,mean_a_anchor,low_gate_warning
exp4,kinship,mean,spa→eng,vector_arb_Arab,0.000000,nan,0.395349,0.405775,low_gate
exp4,kinship,mean,zho→eng,vector_arb_Arab,0.000000,nan,0.411730,0.403808,low_gate
exp4,kinship,mean,arb→eng,vector_eng_Latn,0.055556,1.000000,0.412101,0.378592,low_gate
exp4,kinship,mean,eng→eng,vector_eng_Latn,0.000000,nan,0.422803,0.421198,low_gate
exp4,kinship,mean,spa→eng,vector_eng_Latn,0.000000,nan,0.395349,0.384465,low_gate
exp4,kinship,mean,zho→eng,vector_eng_Latn,0.000000,nan,0.411730,0.379145,low_gate
exp4,kinship,mean,arb→eng,vector_spa_Latn,0.055556,1.000000,0.412101,0.396924,low_gate
exp4,kinship,mean,eng→eng,vector_spa_Latn,0.000000,nan,0.422803,0.422919,low_gate
exp4,kinship,mean,spa→eng,vector_spa_Latn,0.000000,nan,0.395349,0.399380,low_gate
exp4,kinship,mean,zho→eng,vector_spa_Latn,0.000000,nan,0.411730,0.405910,low_gate
exp4,kinship,mean,arb→eng,vector_zho_Hant,0.055556,1.000000,0.412101,0.395133,low_gate
exp4,kinship,mean,eng→eng,vector_zho_Hant,0.000000,nan,0.422803,0.422109,low_gate
exp4,kinship,mean,spa→eng,vector_zho_Hant,0.000000,nan,0.395349,0.398187,low_gate
exp4,kinship,mean,zho→eng,vector_zho_Hant,0.000000,nan,0.411730,0.402097,low_gate
exp4,kinship,pca,arb→eng,vector_arb_Arab,0.055556,0.600000,0.412101,0.414338,low_gate
exp4,kinship,pca,eng→eng,vector_arb_Arab,0.000000,nan,0.422803,0.422803,low_gate
exp4,kinship,pca,spa→eng,vector_arb_Arab,0.000000,nan,0.395349,0.397599,low_gate
exp4,kinship,pca,zho→eng,vector_arb_Arab,0.000000,nan,0.411730,0.414693,low_gate
exp4,kinship,pca,arb→eng,vector_eng_Latn,0.055556,0.000000,0.412101,0.415995,low_gate
exp4,kinship,pca,eng→eng,vector_eng_Latn,0.000000,nan,0.422803,0.422789,low_gate
exp4,kinship,pca,spa→eng,vector_eng_Latn,0.000000,nan,0.395349,0.396216,low_gate
exp4,kinship,pca,zho→eng,vector_eng_Latn,0.000000,nan,0.411730,0.410730,low_gate
exp4,kinship,pca,arb→eng,vector_spa_Latn,0.055556,0.000000,0.412101,0.415836,low_gate
exp4,kinship,pca,eng→eng,vector_spa_Latn,0.000000,nan,0.422803,0.422845,low_gate
exp4,kinship,pca,spa→eng,vector_spa_Latn,0.000000,nan,0.395349,0.397239,low_gate
exp4,kinship,pca,zho→eng,vector_spa_Latn,0.000000,nan,0.411730,0.414530,low_gate
exp4,kinship,pca,arb→eng,vector_zho_Hant,0.055556,0.000000,0.412101,0.415431,low_gate
exp4,kinship,pca,eng→eng,vector_zho_Hant,0.000000,nan,0.422803,0.422803,low_gate
exp4,kinship,pca,spa→eng,vector_zho_Hant,0.000000,nan,0.395349,0.397969,low_gate
exp4,kinship,pca,zho→eng,vector_zho_Hant,0.000000,nan,0.411730,0.412406,low_gate
exp4,sacred,mean,arb→eng,vector_arb_Arab,0.111111,0.600000,0.433398,0.392789,low_gate
exp4,sacred,mean,eng→eng,vector_arb_Arab,0.016667,0.333333,0.437287,0.436023,low_gate
exp4,sacred,mean,spa→eng,vector_arb_Arab,0.005556,1.000000,0.423689,0.384339,low_gate
exp4,sacred,mean,zho→eng,vector_arb_Arab,0.055556,0.500000,0.427885,0.398298,low_gate
exp4,sacred,mean,arb→eng,vector_eng_Latn,0.111111,1.000000,0.433398,0.362361,low_gate
exp4,sacred,mean,eng→eng,vector_eng_Latn,0.016667,1.000000,0.437287,0.409333,low_gate
exp4,sacred,mean,spa→eng,vector_eng_Latn,0.005556,1.000000,0.423689,0.374300,low_gate
exp4,sacred,mean,zho→eng,vector_eng_Latn,0.055556,1.000000,0.427885,0.372157,low_gate
exp4,sacred,mean,arb→eng,vector_spa_Latn,0.111111,1.000000,0.433398,0.375568,low_gate
exp4,sacred,mean,eng→eng,vector_spa_Latn,0.016667,0.333333,0.437287,0.433222,low_gate
exp4,sacred,mean,spa→eng,vector_spa_Latn,0.005556,1.000000,0.423689,0.381221,low_gate
exp4,sacred,mean,zho→eng,vector_spa_Latn,0.055556,0.600000,0.427885,0.386405,low_gate
exp4,sacred,mean,arb→eng,vector_zho_Hant,0.111111,0.700000,0.433398,0.379205,low_gate
exp4,sacred,mean,eng→eng,vector_zho_Hant,0.016667,0.333333,0.437287,0.443534,low_gate
exp4,sacred,mean,spa→eng,vector_zho_Hant,0.005556,1.000000,0.423689,0.394402,low_gate
exp4,sacred,mean,zho→eng,vector_zho_Hant,0.055556,0.400000,0.427885,0.394259,low_gate
exp4,sacred,pca,arb→eng,vector_arb_Arab,0.111111,0.000000,0.433398,0.438283,low_gate
exp4,sacred,pca,eng→eng,vector_arb_Arab,0.016667,0.000000,0.437287,0.438442,low_gate
exp4,sacred,pca,spa→eng,vector_arb_Arab,0.005556,1.000000,0.423689,0.421238,low_gate
exp4,sacred,pca,zho→eng,vector_arb_Arab,0.055556,0.000000,0.427885,0.417034,low_gate
exp4,sacred,pca,arb→eng,vector_eng_Latn,0.111111,0.500000,0.433398,0.430953,low_gate
exp4,sacred,pca,eng→eng,vector_eng_Latn,0.016667,0.000000,0.437287,0.440441,low_gate
exp4,sacred,pca,spa→eng,vector_eng_Latn,0.005556,1.000000,0.423689,0.422274,low_gate
exp4,sacred,pca,zho→eng,vector_eng_Latn,0.055556,0.000000,0.427885,0.426886,low_gate
exp4,sacred,pca,arb→eng,vector_spa_Latn,0.111111,0.300000,0.433398,0.431549,low_gate
exp4,sacred,pca,eng→eng,vector_spa_Latn,0.016667,0.000000,0.437287,0.437814,low_gate
exp4,sacred,pca,spa→eng,vector_spa_Latn,0.005556,1.000000,0.423689,0.418639,low_gate
exp4,sacred,pca,zho→eng,vector_spa_Latn,0.055556,0.000000,0.427885,0.429678,low_gate
exp4,sacred,pca,arb→eng,vector_zho_Hant,0.111111,0.350000,0.433398,0.424612,low_gate
exp4,sacred,pca,eng→eng,vector_zho_Hant,0.016667,0.000000,0.437287,0.436390,low_gate
exp4,sacred,pca,spa→eng,vector_zho_Hant,0.005556,0.000000,0.423689,0.416183,low_gate
exp4,sacred,pca,zho→eng,vector_zho_Hant,0.055556,0.200000,0.427885,0.420398,low_gate
exp4,kinship,mean,arb→spa,vector_arb_Arab,0.000000,nan,0.197645,0.193626,low_gate
exp4,kinship,mean,eng→spa,vector_arb_Arab,0.000000,nan,0.211879,0.210955,low_gate
exp4,kinship,mean,spa→spa,vector_arb_Arab,0.000000,nan,0.212135,0.208373,low_gate
exp4,kinship,mean,zho→spa,vector_arb_Arab,0.000000,nan,0.201225,0.191022,low_gate
exp4,kinship,mean,arb→spa,vector_eng_Latn,0.000000,nan,0.197645,0.184657,low_gate
exp4,kinship,mean,eng→spa,vector_eng_Latn,0.000000,nan,0.211879,0.210381,low_gate
exp4,kinship,mean,spa→spa,vector_eng_Latn,0.000000,nan,0.212135,0.209605,low_gate
exp4,kinship,mean,zho→spa,vector_eng_Latn,0.000000,nan,0.201225,0.188416,low_gate
exp4,kinship,mean,arb→spa,vector_spa_Latn,0.000000,nan,0.197645,0.190804,low_gate
exp4,kinship,mean,eng→spa,vector_spa_Latn,0.000000,nan,0.211879,0.211851,low_gate
exp4,kinship,mean,spa→spa,vector_spa_Latn,0.000000,nan,0.212135,0.212090,low_gate
exp4,kinship,mean,zho→spa,vector_spa_Latn,0.000000,nan,0.201225,0.193692,low_gate
exp4,kinship,mean,arb→spa,vector_zho_Hant,0.000000,nan,0.197645,0.191676,low_gate
exp4,kinship,mean,eng→spa,vector_zho_Hant,0.000000,nan,0.211879,0.211951,low_gate
exp4,kinship,mean,spa→spa,vector_zho_Hant,0.000000,nan,0.212135,0.212283,low_gate
exp4,kinship,mean,zho→spa,vector_zho_Hant,0.000000,nan,0.201225,0.196592,low_gate
exp4,kinship,pca,arb→spa,vector_arb_Arab,0.000000,nan,0.197645,0.200104,low_gate
exp4,kinship,pca,eng→spa,vector_arb_Arab,0.000000,nan,0.211879,0.211287,low_gate
exp4,kinship,pca,spa→spa,vector_arb_Arab,0.000000,nan,0.212135,0.212018,low_gate
exp4,kinship,pca,zho→spa,vector_arb_Arab,0.000000,nan,0.201225,0.198716,low_gate
exp4,kinship,pca,arb→spa,vector_eng_Latn,0.000000,nan,0.197645,0.196305,low_gate
exp4,kinship,pca,eng→spa,vector_eng_Latn,0.000000,nan,0.211879,0.211879,low_gate
exp4,kinship,pca,spa→spa,vector_eng_Latn,0.000000,nan,0.212135,0.212283,low_gate
exp4,kinship,pca,zho→spa,vector_eng_Latn,0.000000,nan,0.201225,0.201414,low_gate
exp4,kinship,pca,arb→spa,vector_spa_Latn,0.000000,nan,0.197645,0.197066,low_gate
exp4,kinship,pca,eng→spa,vector_spa_Latn,0.000000,nan,0.211879,0.212172,low_gate
exp4,kinship,pca,spa→spa,vector_spa_Latn,0.000000,nan,0.212135,0.212232,low_gate
exp4,kinship,pca,zho→spa,vector_spa_Latn,0.000000,nan,0.201225,0.202481,low_gate
exp4,kinship,pca,arb→spa,vector_zho_Hant,0.000000,nan,0.197645,0.197296,low_gate
exp4,kinship,pca,eng→spa,vector_zho_Hant,0.000000,nan,0.211879,0.211879,low_gate
exp4,kinship,pca,spa→spa,vector_zho_Hant,0.000000,nan,0.212135,0.212052,low_gate
exp4,kinship,pca,zho→spa,vector_zho_Hant,0.000000,nan,0.201225,0.200123,low_gate
exp4,sacred,mean,arb→spa,vector_arb_Arab,0.000000,nan,0.234635,0.222659,low_gate
exp4,sacred,mean,eng→spa,vector_arb_Arab,0.000000,nan,0.248568,0.252152,low_gate
exp4,sacred,mean,spa→spa,vector_arb_Arab,0.000000,nan,0.250753,0.250970,low_gate
exp4,sacred,mean,zho→spa,vector_arb_Arab,0.000000,nan,0.233853,0.233355,low_gate
exp4,sacred,mean,arb→spa,vector_eng_Latn,0.000000,nan,0.234635,0.210149,low_gate
exp4,sacred,mean,eng→spa,vector_eng_Latn,0.000000,nan,0.248568,0.232940,low_gate
exp4,sacred,mean,spa→spa,vector_eng_Latn,0.000000,nan,0.250753,0.237655,low_gate
exp4,sacred,mean,zho→spa,vector_eng_Latn,0.000000,nan,0.233853,0.207543,low_gate
exp4,sacred,mean,arb→spa,vector_spa_Latn,0.000000,nan,0.234635,0.208906,low_gate
exp4,sacred,mean,eng→spa,vector_spa_Latn,0.000000,nan,0.248568,0.247384,low_gate
exp4,sacred,mean,spa→spa,vector_spa_Latn,0.000000,nan,0.250753,0.245953,low_gate
exp4,sacred,mean,zho→spa,vector_spa_Latn,0.000000,nan,0.233853,0.219229,low_gate
exp4,sacred,mean,arb→spa,vector_zho_Hant,0.000000,nan,0.234635,0.210724,low_gate
exp4,sacred,mean,eng→spa,vector_zho_Hant,0.000000,nan,0.248568,0.251385,low_gate
exp4,sacred,mean,spa→spa,vector_zho_Hant,0.000000,nan,0.250753,0.251108,low_gate
